Transaction_ID,Timestamp,Customer_ID,Customer_Phone,City,Channel,Transaction_Type,Amount_CFA,Fee_Rate,Fee_CFA,Discount_Applied,Promo_Code,Merchant_ID,Merchant_Category,Agent_ID,KYC_Level,Status,Reversed,FRAUD_Score,Device_OS,Balance_Before_CFA,Balance_After_CFA
TXN0075,2025-11-01 11:24:24,C10195,221980893246,Kaolack,Agent,MERCHANT_PAY,5000,0.005,25,FALSE,,M0982,Transport,A4585,LEVEL_1,SUCCESS,FALSE,0.0,Android,167758,162733
TXN0542,2025-11-01 15:17:28,C10164,221516060715,Saint-Louis,App,CASH_IN,75000,0.0,0,FALSE,,M0000,None,A3827,LEVEL_0,SUCCESS,FALSE,0.15,iOS,56237,131237
TXN0597,2025-11-01 16:23:23,C10041,221740164005,Touba,App,MERCHANT_PAY,20000,0.01,200,FALSE,,M8603,Utilities,,LEVEL_3,SUCCESS,FALSE,0.1,iOS,222909,202709
TXN0027,2025-11-01 20:06:20,C10242,221309130756,Thiès,App,MERCHANT_PAY,15000,0.005,75,FALSE,,M8396,Fashion,,LEVEL_1,SUCCESS,FALSE,0.03,Android,189603,174528
TXN0846,2025-11-01 21:13:04,C10196,221095396218,Kaolack,App,CASH_IN,150000,0.0,0,FALSE,,M0000,None,A320,LEVEL_2,SUCCESS,FALSE,0.16,Android,117112,267112
TXN0487,2025-11-01 23:40:16,C10093,221993867749,Dakar,App,P2P,5000,0.015,75,FALSE,,M0000,None,,LEVEL_1,SUCCESS,FALSE,0.07,Android,167924,162849
TXN0980,2025-11-02 00:39:58,C10090,221947775204,Pikine,USSD,CASH_IN,30000,0.0,0,TRUE,WAVE10,M0000,None,A4611,LEVEL_3,SUCCESS,FALSE,0.18,Android,42596,72596
TXN0576,2025-11-02 00:59:15,C10183,221880592962,Kaolack,USSD,MERCHANT_PAY,30000,0.01,300,FALSE,,M9952,Electronics,,LEVEL_1,FAILED,FALSE,0.0,iOS,379228,379228
TXN0793,2025-11-02 02:24:15,C10041,221740164005,Kaolack,App,CASH_IN,75000,0.0,0,FALSE,,M0000,None,A7649,LEVEL_3,SUCCESS,FALSE,0.14,Android,202709,277709
TXN0058,2025-11-02 02:47:13,C10179,221251925462,Saint-Louis,Agent,BANK_TRANSFER,20000,0.005,100,FALSE,,M0000,None,A1679,LEVEL_2,SUCCESS,FALSE,0.1,Android,239284,219184
TXN0217,2025-11-02 03:22:48,C10177,221255466590,Ziguinchor,Agent,CASH_IN,50000,0.0,0,FALSE,,M0000,None,A119,LEVEL_0,SUCCESS,FALSE,0.06,Android,175889,225889
TXN0158,2025-11-02 04:30:50,C10030,221260647468,Saint-Louis,App,AIRTIME,500,0.01,5,FALSE,,M0000,None,,LEVEL_2,SUCCESS,FALSE,0.16,iOS,391303,390798
TXN0972,2025-11-02 09:25:53,C10077,221586518506,Thiès,App,P2P,15000,0.005,75,FALSE,,M0000,None,,LEVEL_0,SUCCESS,FALSE,0.07,iOS,50421,35346
TXN0019,2025-11-02 11:36:53,C10005,221161559407,Mbour,USSD,CASH_OUT,40000,0.005,200,TRUE,WAVE10,M0000,None,A8592,LEVEL_1,SUCCESS,FALSE,0.05,Android,108344,68144
TXN0952,2025-11-02 15:20:03,C10189,221826137506,Saint-Louis,Agent,CASH_OUT,50000,0.015,750,FALSE,,M0000,None,A1734,LEVEL_1,SUCCESS,FALSE,0.15,iOS,147947,97197
TXN0585,2025-11-02 15:48:15,C10197,221518888806,Rufisque,App,BILL_PAY,2500,0.003,8,FALSE,,M4624,Electronics,,LEVEL_2,SUCCESS,FALSE,0.13,Android,138457,135949
TXN0370,2025-11-02 16:35:08,C10136,221261796405,Rufisque,USSD,BANK_TRANSFER,10000,0.015,150,TRUE,ZEROFEES,M0000,None,,LEVEL_1,SUCCESS,FALSE,0.06,iOS,173379,163229
TXN0685,2025-11-02 20:19:58,C10117,221745961586,Dakar,App,BILL_PAY,2500,0.003,8,FALSE,,M0011,Grocery,,LEVEL_1,SUCCESS,FALSE,0.02,Android,97671,95163
TXN0005,2025-11-02 20:27:26,C10062,221872774348,Rufisque,App,CASH_OUT,5000,0.005,25,FALSE,,M0000,None,A6591,LEVEL_2,SUCCESS,FALSE,0.1,iOS,242755,237730
TXN0863,2025-11-02 21:37:17,C10002,221960013389,Kaolack,Agent,CASH_IN,50000,0.0,0,FALSE,,M0000,None,A7114,LEVEL_2,FAILED,FALSE,0.24,Android,124596,124596
TXN0857,2025-11-03 03:58:26,C10003,221083863794,Rufisque,App,P2P,10000,0.015,150,FALSE,,M0000,None,,LEVEL_2,SUCCESS,FALSE,0.05,Android,13760,3610
TXN0758,2025-11-03 09:12:28,C10206,221796275705,Kaolack,App,MERCHANT_PAY,30000,0.0,0,FALSE,,M8498,Pharmacy,,LEVEL_3,SUCCESS,FALSE,0.13,iOS,116492,86492
TXN0989,2025-11-03 12:33:58,C10180,221914865281,Touba,App,MERCHANT_PAY,15000,0.0,0,TRUE,PAYBILL5,M7631,Fashion,,LEVEL_1,SUCCESS,TRUE,0.1,Android,115892,115892
TXN0951,2025-11-03 13:36:40,C10208,221029702135,Guédiawaye,Agent,P2P,3000,0.015,45,FALSE,,M0000,None,A1432,LEVEL_0,SUCCESS,TRUE,0.1,Android,162310,162310
TXN0853,2025-11-03 13:54:58,C10036,221247510799,Pikine,USSD,CASH_IN,5000,0.0,0,FALSE,,M0000,None,A8393,LEVEL_2,SUCCESS,FALSE,0.07,iOS,84995,89995
TXN0651,2025-11-03 13:55:19,C10164,221516060715,Touba,Agent,P2P,3000,0.01,30,FALSE,,M0000,None,A2960,LEVEL_3,SUCCESS,FALSE,0.27,Android,131237,128207
TXN0446,2025-11-03 14:34:35,C10008,221475255341,Mbour,USSD,P2P,30000,0.005,150,FALSE,,M0000,None,,LEVEL_2,SUCCESS,FALSE,0.17,iOS,123837,93687
TXN0477,2025-11-03 15:58:43,C10152,221656049451,Saint-Louis,Agent,P2P,1000,0.01,10,FALSE,,M0000,None,A3879,LEVEL_2,FAILED,FALSE,0.17,Web,101642,101642
TXN0876,2025-11-03 19:13:07,C10247,221575844198,Mbour,App,P2P,30000,0.015,450,FALSE,,M0000,None,,LEVEL_2,FAILED,FALSE,0.26,Android,790,790
TXN0747,2025-11-03 20:03:55,C10095,221412328120,Rufisque,App,AIRTIME,1500,0.005,8,FALSE,,M0000,None,,LEVEL_2,SUCCESS,FALSE,0.13,Android,200916,199408
TXN0481,2025-11-03 20:31:09,C10117,221745961586,Mbour,App,P2P,2000,0.015,30,FALSE,,M0000,None,,LEVEL_1,SUCCESS,FALSE,0.11,Android,99701,97671
TXN0197,2025-11-03 23:43:54,C10124,221464743671,Pikine,App,CASH_IN,30000,0.0,0,FALSE,,M0000,None,A6758,LEVEL_2,FAILED,FALSE,0.05,Android,318821,318821
TXN0910,2025-11-04 00:26:14,C10205,221284511544,Touba,USSD,AIRTIME,10000,0.0,0,FALSE,,M0000,None,,LEVEL_3,PENDING,FALSE,0.29,Android,192133,192133
TXN0391,2025-11-04 00:33:19,C10063,221734714345,Thiès,App,CASH_OUT,5000,0.0,0,TRUE,ZEROFEES,M0000,None,A4552,LEVEL_2,SUCCESS,FALSE,0.05,iOS,75882,70882
TXN0516,2025-11-04 01:06:52,C10004,221026542351,Saint-Louis,Agent,MERCHANT_PAY,2000,0.0,0,TRUE,ZEROFEES,M8397,Restaurant,A5360,LEVEL_0,SUCCESS,FALSE,0.18,Web,16166,14166
TXN0488,2025-11-04 05:10:20,C10051,221169340608,Rufisque,App,P2P,30000,0.005,150,TRUE,WAVE10,M0000,None,,LEVEL_1,SUCCESS,FALSE,0.03,Android,169447,139297
TXN0854,2025-11-04 10:45:40,C10246,221348434437,Mbour,Agent,P2P,10000,0.015,150,TRUE,WAVE10,M0000,None,A9262,LEVEL_2,SUCCESS,FALSE,0.22,Android,105583,95433
TXN0618,2025-11-04 10:50:34,C10155,221809402445,Guédiawaye,App,P2P,20000,0.015,300,FALSE,,M0000,None,,LEVEL_2,SUCCESS,FALSE,0.18,iOS,197556,177256
TXN0815,2025-11-04 11:11:11,C10170,221212779979,Touba,Web,CASH_OUT,30000,0.005,150,FALSE,,M0000,None,A8677,LEVEL_2,SUCCESS,FALSE,0.25,Web,220592,190442
TXN0023,2025-11-04 12:40:00,C10046,221025634216,Saint-Louis,App,P2P,15000,0.005,75,FALSE,,M0000,None,,LEVEL_1,SUCCESS,FALSE,0.13,FeaturePhone,45892,30817
TXN0238,2025-11-04 16:46:13,C10073,221309232719,Touba,App,P2P,5000,0.005,25,FALSE,,M0000,None,,LEVEL_3,SUCCESS,FALSE,0.13,Android,79596,74571
TXN0214,2025-11-04 17:55:01,C10170,221212779979,Saint-Louis,Agent,P2P,30000,0.01,300,FALSE,,M0000,None,A2214,LEVEL_2,FAILED,FALSE,0.17,Web,275352,275352
TXN0071,2025-11-04 18:24:11,C10142,221539502402,Kaolack,App,P2P,2000,0.015,30,FALSE,,M0000,None,,LEVEL_3,SUCCESS,FALSE,0.15,Android,231605,229575
TXN0808,2025-11-04 18:59:20,C10153,221983273158,Pikine,App,P2P,2000,0.0,0,TRUE,ZEROFEES,M0000,None,,LEVEL_2,SUCCESS,FALSE,0.08,Android,242981,240981
TXN0760,2025-11-04 20:03:38,C10217,221786691251,Dakar,Agent,CASH_OUT,5000,0.005,25,FALSE,,M0000,None,A398,LEVEL_2,SUCCESS,FALSE,0.18,iOS,70825,65800
TXN0431,2025-11-04 22:15:22,C10125,221369594406,Kaolack,App,CASH_OUT,50000,0.005,250,FALSE,,M0000,None,A8656,LEVEL_2,SUCCESS,FALSE,0.03,iOS,65024,14774
TXN0280,2025-11-04 23:08:12,C10200,221277221704,Rufisque,Agent,CASH_IN,20000,0.0,0,FALSE,,M0000,None,A7922,LEVEL_0,SUCCESS,FALSE,0.09,Android,18444,38444
TXN0300,2025-11-05 00:13:54,C10146,221159212499,Ziguinchor,USSD,P2P,3000,0.015,45,FALSE,,M0000,None,,LEVEL_2,PENDING,FALSE,0.17,iOS,30991,30991
TXN0926,2025-11-05 00:37:09,C10214,221884422583,Kaolack,App,MERCHANT_PAY,12000,0.005,60,FALSE,,M7243,Grocery,,LEVEL_2,SUCCESS,FALSE,0.0,Android,118994,106934
TXN0262,2025-11-05 03:27:46,C10143,221681177589,Kaolack,App,CASH_OUT,40000,0.01,400,FALSE,,M0000,None,A4685,LEVEL_0,SUCCESS,FALSE,0.12,Android,166945,126545
TXN0523,2025-11-05 04:17:31,C10134,221612004711,Kaolack,USSD,P2P,10000,0.01,100,FALSE,,M0000,None,,LEVEL_0,SUCCESS,FALSE,0.07,FeaturePhone,74003,63903
